Date,Open,High,Low,Close,Volume
2026-01-02,311.9800109863281,321.5899963378906,311.70001220703125,319.6099853515625,18526900
2026-01-05,330.3999938964844,331.25,321.5,322.25,17446300
2026-01-06,330.2200012207031,333.0799865722656,324.5899963378906,327.42999267578125,15599600
2026-01-07,324.6700134277344,326.29998779296875,318.5400085449219,318.67999267578125,11744800
2026-01-08,324.3900146484375,324.5,316.1400146484375,318.010009765625,10850800
2026-01-09,319.8299865722656,324.7699890136719,318.25,323.6300048828125,12325100
2026-01-12,322.1000061035156,333.54998779296875,321.05999755859375,331.7699890136719,12714800
2026-01-13,332.8699951171875,336.4200134277344,330.7799987792969,331.2099914550781,11473600
2026-01-14,329.8599853515625,329.8599853515625,324.82000732421875,327.1099853515625,11210800
2026-01-15,342.80999755859375,351.3299865722656,337.9200134277344,341.6400146484375,42188500
2026-01-16,346.510009765625,349.8500061035156,341.4599914550781,342.3999938964844,18246100
2026-01-20,340.7900085449219,342.1499938964844,326.8999938964844,327.1600036621094,22809900
2026-01-21,333.42999267578125,333.6400146484375,325.67999267578125,326.1199951171875,16789800
2026-01-22,333.4200134277344,335.04998779296875,326.8999938964844,327.3699951171875,12801000
2026-01-23,332.07000732421875,337.1499938964844,331.3699951171875,334.8699951171875,12904400
2026-01-26,332.7900085449219,335.1000061035156,330.2300109863281,332.7099914550781,8646400
2026-01-27,336.5,341.25,334.55999755859375,338.3399963378906,11298100
2026-01-28,343.0299987792969,345.5,338.6600036621094,342.29998779296875,12140100
2026-01-29,339.79998779296875,343.739990234375,328.20001220703125,339.54998779296875,13844800
2026-01-30,335.4200134277344,339.8999938964844,329.1000061035156,330.55999755859375,12028100
2026-02-02,330.760009765625,344.20001220703125,329.1000061035156,341.3599853515625,12459100
2026-02-03,345.07000732421875,347.04998779296875,330.0199890136719,335.75,12540000
2026-02-04,335.6000061035156,338.79998779296875,319.07000732421875,325.739990234375,18176000
2026-02-05,322.82000732421875,334.57000732421875,319.6499938964844,330.7300109863281,14812000
2026-02-06,337.5,349.7200012207031,336.6499938964844,348.8500061035156,17025500
2026-02-09,348.760009765625,359.6000061035156,347.79998779296875,355.4100036621094,14594900
2026-02-10,364.3299865722656,364.760009765625,356.3900146484375,361.9100036621094,14622100
2026-02-11,370.0799865722656,379.5799865722656,368.3900146484375,374.0899963378906,18651300
2026-02-12,379,380,322.1000061035156,368.1000061035156,16835400
2026-02-13,369.1499938964844,371.1099853515625,360.7699890136719,366.3599853515625,10468200
2026-02-17,361.8699951171875,366.20001220703125,356.239990234375,364.20001220703125,10063800
2026-02-18,363.8599853515625,369.3900146484375,360.7099914550781,362.260009765625,7310500
2026-02-19,359.7200012207031,362.79998779296875,357.44000244140625,360.3900146484375,6346500
2026-02-20,359.7799987792969,372.20001220703125,359.1000061035156,370.5400085449219,9009200
2026-02-23,367.010009765625,373.42999267578125,366.4599914550781,370.0400085449219,9550200
2026-02-24,379.3999938964844,389.17999267578125,376.04998779296875,385.75,13269500
2026-02-25,390.2099914550781,390.2099914550781,384.8299865722656,387.7300109863281,10948400
2026-02-26,386.17999267578125,386.4700012207031,369.70001220703125,376.80999755859375,14535700
2026-02-27,370.1400146484375,376.67999267578125,368.6199951171875,374.5799865722656,9186600
2026-03-02,365.3599853515625,373.1000061035156,364.6499938964844,369.1099853515625,12571600
2026-03-03,349.54998779296875,355.9800109863281,344.1400146484375,353.1300048828125,18580200
2026-03-04,357.42999267578125,361.0899963378906,354.54998779296875,357.44000244140625,12131100
2026-03-05,354.8999938964844,359.4700012207031,343.79998779296875,353.8599853515625,16249800
2026-03-06,343.5,348.7200012207031,336.69000244140625,338.8900146484375,13803000
2026-03-09,335.6000061035156,349.3999938964844,331.9200134277344,348.70001220703125,19182800
2026-03-10,348.4700012207031,353.5,344.30999755859375,347.0899963378906,12985600
2026-03-11,353.92999267578125,357.3500061035156,350.3599853515625,354.55999755859375,10683300
2026-03-12,345.92999267578125,346.8900146484375,336.3800048828125,336.7099914550781,17549400
2026-03-13,343.9200134277344,344.5199890136719,336.2200012207031,338.30999755859375,17299900
2026-03-16,341.25,344.6300048828125,339.82000732421875,340.2300109863281,11123500
2026-03-17,340.6000061035156,346.760009765625,338.3999938964844,345.9800109863281,11434600
2026-03-18,345.7799987792969,347.95001220703125,339.3399963378906,339.57000732421875,12632600
2026-03-19,329.2200012207031,339.8999938964844,325.19000244140625,338.7900085449219,15411600
2026-03-20,336.67999267578125,337.6000061035156,325.8999938964844,329.239990234375,17424200
2026-03-23,331.1000061035156,343.4100036621094,331.1000061035156,338.45001220703125,15857200
2026-03-24,335.57000732421875,344.8800048828125,334.0199890136719,343.25,9725000
2026-03-25,346,350.45001220703125,343.5,347.75,12166900
2026-03-26,339.82000732421875,340.9100036621094,325.3699951171875,326.1099853515625,14560200
2026-03-27,324.8299865722656,329.55999755859375,322.30999755859375,326.739990234375,14484500
2026-03-30,327.20001220703125,329.6000061035156,313.79998779296875,316.5,15740000
2026-03-31,322.30999755859375,338.4100036621094,321.1400146484375,337.95001220703125,18488000
2026-04-01,343.8999938964844,348.67999267578125,339.75,341.489990234375,15011600
2026-04-02,326.8399963378906,342.07000732421875,326.79998779296875,339.0400085449219,8994600
